Sampling,POC_PON,HRT,ND,RA,pH,Chla,APOC,CL,IS,HAI
1,11.55445545,77.49985975,6,8,7.79,1.1968,18.98837986,86.91159499,2.150447235,2.876716133
2,10.05010141,77.49985975,7,8,7.74,0.7704,33.68540887,43.83781154,37.08318579,1211.564688
3,9.674371176,61.74526077,7,8,6.9,8.4344,34.35723523,58.52342496,1.91768782,3.056341734
4,10.47963425,71.82468176,7,8,7.56,0.4244,28.46781371,59.34288495,4.651062074,51.15186112
5,9.592713685,67.25199514,7,8,7.55,0.62,24.12162704,38.10735726,1.490584808,1.645758977
6,7.393464052,68.60854375,7,8,7.83,4.2584,39.58584442,14.30309253,1.027445246,1.692429419
7,8.063939479,18.64288847,7,8,8.024,0.5768,47.11496311,86.91159499,2.150447235,2.876716133
8,4.843272603,18.64288847,8,8,8.058,1.18,86.70530633,43.83781154,37.08318579,1211.564688
9,1.39832001,15.59600513,8,8,7.895,0.1032,50.27121217,65.25330137,2.685551167,5.898771694
10,6.723124883,19.68035776,8,8,7.81,0.819,66.23684122,58.52342496,1.91768782,3.056341734
11,10.50100229,18.59667281,8,8,7.71,1.066,29.7748553,59.34288495,4.651062074,51.15186112
12,5.657304832,22.25817362,8,8,7.52,11.5164,78.79928207,38.10735726,1.490584808,1.645758977
13,3.033171718,18.63429621,8,8,8.12,16.1584,52.58310383,14.30309253,1.027445246,1.692429419
14,7.679876521,14.00127279,7,1,8.17,4.129,57.16024831,40.2019991,0.229666023,0.59434132
15,15.9399083,11.20292244,8,2,8.45,2.157,11.15609304,20.87604965,0.165600033,0.136140947
16,11.1362825,11.20292244,8,2,8.45,4.5654,26.56242885,25.16938778,0.261135519,0.173777576
17,7.180462734,8.637467145,8,9,7.51,5.3544,54.97500637,86.59847525,2.347636123,3.58944462
18,7.308409586,8.637467145,9,9,7.47,2.604,55.89374116,59.91060476,17.53728729,294.1909482
19,7.08204003,8.637467145,9,9,8.1,2.9852,56.62955706,64.80830644,2.817348149,19.70499817
20,7.311784627,11.42934611,9,9,7.3,1.0816,57.14799918,57.84589713,2.109138155,3.165944356
21,5.616264364,18.64288847,9,9,8.29,0.8364,78.85351642,57.14516811,3.244526645,16.56854041
22,6.09174287,13.85691949,9,9,7.05,0.5068,72.84385288,37.34766797,1.570355839,4.111259653
23,10.18683691,10.38970399,9,9,10.41,0.612,28.62322328,14.43514991,1.067194532,1.832032194
24,5.657124239,56.87877951,7,2,7.64,5.792666667,81.00666903,41.2647299,0.252212271,0.623571293
25,6.828936436,29.92731322,8,3,6.88,30.4564,31.10953062,23.66284343,0.191586499,0.140656475
26,4.27817356,29.92731322,8,3,7.55,24.4318,91.44307008,26.78384221,0.275657202,0.17938374
27,5.990738058,77.87238444,8,10,7.02,0.616,74.52150421,86.98545943,2.522403174,3.715841531
28,8.105313091,77.87238444,9,10,8.21,0.8508,55.09753387,58.5397419,18.58231228,306.205039
29,10.08825776,77.96469213,9,10,8.41,0.4224,35.47134046,62.62418331,2.889956932,20.51690967
30,8.568149468,84.43892543,9,10,8.16,0.8488,44.85586179,54.06796933,2.250910758,3.277234968
31,9.541247679,80.70841251,9,10,8.38,0.6984,41.25417227,54.00712797,3.505393108,17.12729377
32,8.794169374,75.40791027,9,10,8.14,1.3164,68.07273073,38.7287353,1.643982192,4.261405193
33,8.711010061,76.19252813,9,10,8.12,0.8488,49.47577197,14.00524044,1.11254202,1.891508135
34,9.16041628,39.89341449,7,4,8.35,2.3444,40.9448961,40.5861754,0.09044344,0.137963423
35,7.486624603,39.89341449,7,4,8.32,1.8016,51.88078521,37.58776355,0.069038957,0.025314291
36,7.453390618,39.89341449,7,4,8.29,1.3998,56.04674295,41.83240645,0.422894381,1.039457456
37,7.030298711,13.44956519,8,5,8.29,0.7468,62.09536705,43.43983104,0.916495129,2.631035666
38,8.625715092,10.78237283,8,5,8.34,1.5904,42.92431945,32.47765156,0.912407364,1.655541116
39,9.383158246,17.6679078,8,5,8.31,1.3236,33.9407704,24.90962405,0.242658467,0.164698871
40,10.11013584,17.6679078,8,5,8.3,1.5554,32.24666127,26.16443033,0.40913966,0.235961616
41,10.20659858,17.49333086,8,5,8.35,1.3442,29.76968607,27.26149456,0.640472839,0.542698206
42,11.91831061,17.49333086,8,5,8.33,1.2268,22.61183861,25.52357271,0.632962184,0.573325494
43,10.1420554,17.49333086,8,5,8.33,1.1516,31.87494029,23.19493343,0.27526278,0.205004508
44,8.151481065,17.49333086,8,5,8.34,1.1516,48.45029161,27.69271531,0.295906981,0.185315414
45,7.163211524,17.49333086,8,5,8.33,1.2484,51.91135533,37.80259925,0.490782386,0.435701807
46,3.659369407,45.47657544,7,4,8.34,9.6314,94.0081709,40.5861754,0.09044344,0.137963423
47,19.80777575,45.47657544,7,4,8.44,10.0002,7.759371749,37.58776355,0.069038957,0.025314291
48,11.49563626,45.47657544,7,4,8.5,10.8778,24.95107774,41.83240645,0.422894381,1.039457456
49,36.07371371,13.59835061,8,5,8.51,6.7296,4.571596259,43.43983104,0.916495129,2.631035666
50,37.00790775,13.59835061,8,5,8.54,5.4008,4.643689621,42.95719299,0.932442503,2.816571231
51,13.8468294,13.59592799,8,5,8.55,6.0178,15.50657323,32.47765156,0.912407364,1.655541116
52,10.76190629,22.33199785,8,5,8.55,6.0384,28.17586922,24.90962405,0.242658467,0.164698871
53,16.29573478,22.33199785,8,5,8.58,35.02,9.748428689,26.16443033,0.40913966,0.235961616
54,12.38299776,22.29912743,8,5,8.43,14.6624,15.65437515,27.26149456,0.640472839,0.542698206
55,9.304026417,23.29912743,8,5,8.85,11.74,25.90286866,25.52357271,0.632962184,0.573325494
56,8.924778624,24.29912743,8,5,8.61,26.7062,23.97674662,23.19493343,0.27526278,0.205004508
57,10.42198399,26.29912743,8,5,8.43,11.98,21.93248211,37.80259925,0.490782386,0.435701807
58,7.790171219,34.78473065,7,4,8.33,4.8688,54.63990855,40.5861754,0.09044344,0.137963423
59,7.592273992,34.78473065,7,4,8.31,5.5662,58.90249626,37.58776355,0.069038957,0.025314291
60,7.572609461,34.78473065,7,4,8.33,5.5456,56.91992635,41.83240645,0.422894381,1.039457456
61,7.613347965,12.00558575,8,5,8.22,1.5096,52.27630678,43.43983104,0.916495129,2.631035666
62,8.156329841,12.00558575,8,5,8.17,1.9484,48.09952827,42.95719299,0.932442503,2.816571231
63,6.884799104,12.01169717,8,5,8.28,2.0504,63.03922977,32.47765156,0.912407364,1.655541116
64,7.272761428,19.65926041,8,5,8.29,1.6054,54.66042467,24.90962405,0.242658467,0.164698871
65,8.827326155,19.65926041,8,5,8.2,2.2832,45.7333326,26.16443033,0.40913966,0.235961616
66,8.670010766,19.49505223,8,5,8.25,3.9262,49.90129774,27.26149456,0.640472839,0.542698206
67,7.691046026,19.49505223,8,5,8.27,4.4052,60.65603642,25.52357271,0.632962184,0.573325494
68,7.514499963,19.49505223,8,5,8.28,1.0646,59.97157235,23.19493343,0.27526278,0.205004508
69,7.58405443,19.49505223,8,5,8.3,0.6948,59.73509535,27.69271531,0.295906981,0.185315414
70,7.333565662,19.49505223,8,5,8.16,0.5588,58.418823,37.80259925,0.490782386,0.435701807
71,7.044491145,12.0212416,7,4,8.09,1.2387,58.56995869,40.5861754,0.09044344,0.137963423
72,8.3169674,12.0212416,7,4,8.09,1.0471,48.74262465,37.58776355,0.069038957,0.025314291
73,7.791734529,12.0212416,7,4,8.04,3.2289,51.12669067,41.83240645,0.422894381,1.039457456
74,8.340253112,3.862143168,8,5,8.08,0.4857,41.3110275,43.43983104,0.916495129,2.631035666
75,7.80505718,3.862143168,8,5,8.08,0.4651,45.24554452,42.95719299,0.932442503,2.816571231
76,12.60054922,3.862143168,8,5,8.08,0.2735,18.88272378,32.47765156,0.912407364,1.655541116
77,12.63240089,5.816431506,8,5,8.08,0.3899,17.9484153,24.90962405,0.242658467,0.164698871
78,12.95484066,5.816431506,8,5,8.06,0.2735,17.10969925,26.16443033,0.40913966,0.235961616
79,7.947569544,7.427571998,8,5,8.04,3.0383,47.91685347,27.26149456,0.640472839,0.542698206
80,9.471811447,7.427571998,8,5,8.04,0.8895,35.29080428,25.52357271,0.632962184,0.573325494
81,8.948758693,7.427571998,8,5,8.02,0.5815,37.05283119,23.19493343,0.27526278,0.205004508
82,7.936653954,7.427571998,8,5,8,0.7937,46.11665395,27.69271531,0.295906981,0.185315414
83,8.262884425,7.427571998,8,5,8,2.5717,45.66576093,37.80259925,0.490782386,0.435701807
84,7.044491145,12.27859749,7,4,8.23,0.7558,67.1403696,40.5861754,0.09044344,0.137963423
85,6.891794472,12.27859749,7,4,8.23,0.7528,82.90760628,37.58776355,0.069038957,0.025314291
86,7.128883346,12.27859749,7,4,8.2,0.0266,58.64946222,41.83240645,0.422894381,1.039457456
87,7.954041885,4.164892146,8,5,8.25,0.482,49.53485889,43.43983104,0.916495129,2.631035666
88,8.263078813,4.164892146,8,5,8.24,0.2594,47.49657469,42.95719299,0.932442503,2.816571231
89,9.05513065,2.571891624,8,5,8.18,0.0998,38.10491875,32.47765156,0.912407364,1.655541116
90,9.360141011,4.365474727,8,5,8.24,0.146,37.89391438,24.90962405,0.242658467,0.164698871
91,9.032504364,4.365474727,8,5,8.25,0.174,39.2771663,26.16443033,0.40913966,0.235961616
92,9.730728177,4.24852577,8,5,8.23,0.283,33.96179708,27.26149456,0.640472839,0.542698206
93,8.914748276,4.24852577,8,5,8.25,0.0698,39.9859469,25.52357271,0.632962184,0.573325494
94,7.82034598,4.24852577,8,5,8.23,0.174,51.07141152,23.19493343,0.27526278,0.205004508
95,9.32893434,4.24852577,8,5,8.22,0.2688,37.63413907,27.69271531,0.295906981,0.185315414
96,7.847751514,4.24852577,8,5,8.21,0.0792,51.08874511,37.80259925,0.490782386,0.435701807
97,7.556924533,31.61643948,7,4,8.22,0.2688,51.64767485,40.5861754,0.09044344,0.137963423
98,6.180982615,31.61643948,7,4,8.2,0.1194,69.68432284,37.58776355,0.069038957,0.025314291
99,7.061732349,31.61643948,7,4,8.17,0.2554,59.36222732,41.83240645,0.422894381,1.039457456
100,8.344309186,7.160352508,8,5,8.18,0.0762,45.05457249,43.43983104,0.916495129,2.631035666
101,8.332171283,7.160352508,8,5,8.18,0.2162,43.53668618,42.95719299,0.932442503,2.816571231
102,8.603158604,7.289030761,8,5,8.17,0.2678,41.49974196,32.47765156,0.912407364,1.655541116
103,8.927009721,12.01186679,8,5,8.21,0.0968,39.00266213,24.90962405,0.242658467,0.164698871
104,9.094918034,12.01186679,8,5,8.15,0.0874,37.75650212,26.16443033,0.40913966,0.235961616
105,7.701117885,13.22399608,8,5,8.18,0.055,52.79290636,27.26149456,0.640472839,0.542698206
106,7.744726828,13.22399608,8,5,8.18,0.2152,53.22016982,25.52357271,0.632962184,0.573325494
107,7.112712585,13.22399608,8,5,8.19,0.2234,59.42923798,23.19493343,0.27526278,0.205004508
108,7.377198167,13.22399608,8,5,8.17,0.2688,57.38643308,27.69271531,0.295906981,0.185315414
109,6.875370224,13.22399608,8,5,8.2,0.482,61.35973568,37.80259925,0.490782386,0.435701807
110,5.884260843,40.56237995,7,5,8.17,0.4636,72.59356293,40.5861754,0.09044344,0.137963423
111,7.211492608,40.56237995,7,5,8.3,0.5388,56.77435624,37.58776355,0.069038957,0.025314291
112,6.273630935,40.56237995,7,5,8.28,0.3266,66.3607646,41.83240645,0.422894381,1.039457456
113,5.603003278,10.75691245,8,6,8.29,0.8066,77.57361919,43.43983104,0.916495129,2.631035666
114,7.238695914,10.75691245,8,6,8.29,0.3462,58.57380382,42.95719299,0.932442503,2.816571231
115,7.580284629,10.75691245,8,6,8.27,0.5944,52.55102557,32.47765156,0.912407364,1.655541116
116,10.17941373,12.01186679,8,6,8.31,0.272,30.37869058,24.90962405,0.242658467,0.164698871
117,7.383008242,12.01186679,8,6,8.29,0.786,54.2775519,26.16443033,0.40913966,0.235961616
118,6.08848419,13.22399608,8,6,8.28,0.3472,70.41443991,27.26149456,0.640472839,0.542698206
119,7.744610686,13.22399608,8,6,8.26,0.5388,52.22434826,25.52357271,0.632962184,0.573325494
120,8.929497251,13.22399608,8,6,8.26,0.2514,41.65163572,23.19493343,0.27526278,0.205004508
121,6.861657589,13.22399608,8,6,8.28,0.615,62.25644987,27.69271531,0.295906981,0.185315414
122,8.244123767,13.22399608,8,6,8.25,0.1556,47.9413598,37.80259925,0.490782386,0.435701807
123,4.248716978,17.40127415,7,5,8.06,1.8346,91.82370241,37.32910259,0.077702354,0.086531234
124,4.656916172,17.40127415,7,5,8.06,2.3558,89.57244366,41.27646511,0.439338992,1.076453841
125,2.664375391,9.60900636,8,6,8.04,1.1568,52.65689944,23.67495532,0.25081237,0.169402677
126,2.746093108,9.60900636,8,6,7.97,1.6018,97.25505636,24.85447009,0.444550876,0.246859472
127,3.563384177,13.270359,8,6,8,1.2722,95.34447081,26.29489177,0.677811082,0.568085703
128,3.076656814,12.38539788,8,6,8.11,2.4166,1.881068887,24.6754289,0.658441142,0.596358822
129,2.995721354,10.85100855,8,6,8.08,3.7526,2.608726613,22.80592026,0.284319258,0.210559095
130,3.605298778,12.38539788,8,6,8.17,4.5994,94.33047504,27.3010527,0.306484322,0.191013815
131,4.322998272,12.38539788,8,6,8.11,6.7616,91.37120294,37.44535477,0.518301693,0.460098212
132,2.759424885,50.37446956,8,13,7.8,1.369,2.167665819,89.12730835,2.462450527,3.381663791
133,5.727652361,50.37446956,9,13,7.73,1.06,74.71711629,57.48541818,21.17487609,330.8983026
134,4.177732493,50.37446956,9,13,7.8,1.1774,92.25979763,60.76520468,3.039979823,21.92873527
135,3.728689139,50.37446956,9,13,7.73,1.505,3.395505333,51.18169312,2.55942221,3.550068955
136,3.791683808,50.37446956,9,13,7.75,1.9304,94.60612627,50.32685233,3.939169291,17.97847639
137,3.181565548,50.37446956,9,13,7.7,1.6976,51.65320616,45.33299196,1.561019229,9.127421455
138,1.635122886,50.37446956,9,13,7.81,1.2526,99.19702574,34.96932672,1.034331659,1.760675941
139,4.054866773,50.37446956,9,13,7.74,1.0816,93.20410079,13.3334777,1.213720854,1.995564718
140,5.133206429,11.46854145,7,5,8.53,3.4004,86.19602957,37.32910259,0.077702354,0.086531234
141,2.828906057,11.46854145,7,5,8.21,2.1004,51.54838849,41.27646511,0.439338992,1.076453841
142,3.733942039,6.122974242,8,6,8.05,1.1022,93.85022528,23.67495532,0.25081237,0.169402677
143,5.117197849,6.122974242,8,6,8.1,1.0816,84.93403521,24.85447009,0.444550876,0.246859472
144,4.290424558,7.160784295,8,6,9.12,0.4234,91.69368773,26.29489177,0.677811082,0.568085703
145,3.325855221,7.160784295,8,6,8.58,1.0064,54.31588773,24.6754289,0.658441142,0.596358822
146,3.980269694,6.625827587,8,6,8.45,2.1818,93.60130682,22.80592026,0.284319258,0.210559095
147,4.244629999,6.361081446,8,6,8.95,3.5704,92.23632859,27.3010527,0.306484322,0.191013815
148,5.114982232,6.361081446,8,6,9.01,4.3842,85.96746002,37.44535477,0.518301693,0.460098212
149,4.501108122,11.4587952,8,13,8.08,1.8892,89.80107251,89.12730835,2.462450527,3.381663791
150,4.047622366,11.4587952,9,13,7.93,5.336,93.11783675,57.48541818,21.17487609,330.8983026
151,3.040611225,12.08995614,9,13,8.17,2.738,1.9268085,60.76520468,3.039979823,21.92873527
152,4.119548747,12.08995614,9,13,7.95,0.8488,91.72997373,51.18169312,2.55942221,3.550068955
153,4.860659086,15.6900137,9,13,8.06,0.9858,86.57630056,50.32685233,3.939169291,17.97847639
154,3.834492356,18.2515861,9,13,7.85,0.8488,94.17909517,45.33299196,1.561019229,9.127421455
155,3.827933587,18.37447129,9,13,7.8,1.1362,94.18024306,34.96932672,1.034331659,1.760675941
156,4.066335094,18.51127517,9,13,7.76,1.2722,92.81342942,13.3334777,1.213720854,1.995564718
157,5.097566346,47.33201775,7,5,8.06,0.9446,83.43234221,37.32910259,0.077702354,0.086531234
158,4.835513012,47.33201775,7,5,8.04,1.1166,83.57420148,41.27646511,0.439338992,1.076453841
159,5.420021041,24.32673852,8,6,8.02,0.8292,79.52151054,23.67495532,0.25081237,0.169402677
160,5.395011899,24.32673852,8,6,8.05,0.8282,80.53234792,24.85447009,0.444550876,0.246859472
161,4.590915918,24.93567392,8,6,8.06,0.8498,88.61137731,26.29489177,0.677811082,0.568085703
162,5.664365492,24.93567392,8,6,8.05,1.232,76.62043358,24.6754289,0.658441142,0.596358822
163,6.054867383,23.5761872,8,6,8.06,1.2536,71.82946095,22.80592026,0.284319258,0.210559095
164,3.762027104,23.51213116,8,6,8.06,1.2742,94.5291087,27.3010527,0.306484322,0.191013815
165,3.166153523,23.51213116,8,6,8.06,1.4246,2.252832411,37.44535477,0.518301693,0.460098212
166,7.583487105,96.88944427,8,13,7.93,0.616,52.14719252,89.12730835,2.462450527,3.381663791
167,6.777917156,96.88944427,9,13,7.86,0.5202,61.82389195,57.48541818,21.17487609,330.8983026
168,7.302602687,93.21641195,9,13,7.83,0.6572,58.703888,60.76520468,3.039979823,21.92873527
169,6.24877853,93.21641195,9,13,7.81,0.8498,70.59300412,51.18169312,2.55942221,3.550068955
170,6.759349629,87.94216879,9,13,7.8,0.6366,65.4504569,50.32685233,3.939169291,17.97847639
171,7.382415333,80.33347902,9,13,7.75,0.8282,58.81486637,45.33299196,1.561019229,9.127421455
172,6.210896468,71.80757901,9,13,7.75,0.6376,71.45562516,34.96932672,1.034331659,1.760675941
173,7.390469427,68.3183864,9,13,7.73,0.6366,59.6142767,13.3334777,1.213720854,1.995564718
174,6.300692384,17.62265512,7,1,7.95,2.3,71.33930101,43.49371823,2.64836972,80.46803186
175,6.381770504,17.62265512,8,1,8.01,0.32,72.34262543,42.27172213,0.079867321,0.072130965
176,6.267639903,17.62265512,8,1,7.97,2.5,71.8855974,34.22176252,0.159479069,0.297853172
177,6.330033003,52.05827106,9,1,8,2.78,67.75488136,24.35062412,2.012679883,0.05349726
178,6.150925926,52.05827106,9,1,7.97,2.17,75.49791551,29.81801136,1.478379057,0.062845877
179,5.166666667,41.66475817,10,8,7.94,0.79,85.64883275,33.74312294,0.128274209,0.101411075
180,5.426440329,41.64283694,10,8,7.88,0.36,80.22928046,33.55399925,0.396281501,1.223589778
181,8.75,10.71177854,10,8,7.93,0.59,44.22767065,45.94812861,0.994195326,2.433723696
182,5.714795009,17.54882284,11,9,7.93,0.47,76.86447772,27.11605974,0.274761669,0.161739809
183,6.289215686,17.54882284,11,9,7.94,0.53,70.84654932,27.09481587,0.700193231,0.588515405
184,5.6,21.39582814,11,9,7.92,0.42,79.11489219,33.55399925,0.396281501,0.24138022
185,4.495833333,94.6167233,11,15,7.78,0.84,90.34299631,88.60936702,2.572637259,3.381663792
186,7.466666667,94.6167233,12,15,7.78,0.73,47.84453825,58.70393464,22.11290193,330.8983026
187,6.3125,94.6167233,12,15,7.75,0.45,72.16725734,61.87496577,3.268973793,21.88070256
188,7.246794872,105.5086899,12,15,7.71,0.85,63.83187952,53.23937024,2.838127022,3.550068955
189,6.027777778,105.5086899,12,15,7.68,0.46,74.93945258,51.86756188,4.589070149,18.31681172
190,7.641666667,101.9088294,12,15,7.72,0.49,58.36568545,38.02777431,1.847926608,4.605605961
191,7.670833333,101.9088294,12,15,7.71,0.54,58.44977804,33.36432931,1.085156576,1.760675941
192,6.589506173,101.9553826,12,15,7.72,0.37,69.40322027,25.22530326,0.307113023,0.443005004
193,5.749685535,17.62265512,7,1,7.93,1.59,78.89868658,43.49371823,2.64836972,80.46803186
194,6.249303621,17.62265512,8,1,8.08,1.68,72.71240642,42.27172213,0.079867321,0.072130965
195,5.894575678,17.62265512,8,1,8.33,3.02,76.42992212,31.46461295,0.098720204,0.0540847
196,6.371991247,17.62265512,8,1,8.38,1.8,70.79232287,34.22176252,0.159479069,0.297853172
197,6.093908629,52.05827106,9,1,8.23,3.29,74.86976449,24.35062412,2.012679883,0.05349726
198,5.010869565,52.05827106,9,1,8.11,3.39,86.78225112,29.81801136,1.478379057,0.062845877
199,4.881750466,52.56776241,10,8,8.11,3.72,87.26256038,42.98974824,0.128019607,0.145252619
200,4.729788557,50.67942874,10,8,8.11,6.54,89.05815723,33.55399925,0.396281501,1.223589778
201,6.861904762,17.31591181,10,8,7.97,0.91,69.3150229,45.94812861,0.994195326,2.433723696
202,2.04751462,25.0569171,11,9,7.95,1.19,50.82629425,27.11605974,0.274761669,0.161739809
203,5.406206416,25.0569171,11,9,8.24,5.37,84.05006583,27.09481587,0.700193231,0.588515405
204,5.475617902,24.90824378,11,9,8.22,3.03,82.80861857,33.55399925,0.396281501,0.24138022
205,5.760700389,51.09916649,11,16,7.72,0.8684,79.7160733,88.60936702,2.572637259,3.381663792
206,5.569398907,51.09916649,12,16,7.69,1.0054,81.77314373,58.70393464,22.11290193,330.8983026
207,6.194771242,51.09916649,12,16,7.7,0.3276,76.24541608,61.87496577,3.268973793,21.88070256
208,5.231333333,51.09916649,12,16,7.77,0.89,85.28624512,53.23937024,2.838127022,3.550068955
209,6.206666667,51.09916649,12,16,7.72,0.3688,73.27316722,51.86756188,4.589070149,18.31681172
210,5.74904943,51.09916649,12,16,7.67,0.582,82.49778893,38.02777431,1.847926608,4.605605961
211,5.299595142,51.09916649,12,16,7.73,0.7736,84.41819871,33.36432931,1.085156576,1.760675941
212,4.861111111,51.09916649,12,16,7.79,0.6376,87.70772529,25.22530326,0.307113023,0.443005004
213,4.481549815,51.09916649,12,16,7.74,0.753,90.94040646,33.82060715,0.523917009,0.144347173
214,4.770042194,51.09916649,12,16,7.86,0.7726,89.37564354,15.52322612,1.268210786,1.979554745
215,6.888480392,17.62265512,7,1,8.04,0.39,62.90400951,43.49371823,2.64836972,80.46803186
216,7.077777778,17.62265512,8,1,8.06,0.75,62.4909941,42.27172213,0.079867321,0.072130965
217,7.287671233,17.62265512,8,1,8.01,0.7,60.30863653,31.46461295,0.098720204,0.0540847
218,5.891666667,17.62265512,8,1,8.06,1,77.15405326,34.22176252,0.159479069,0.297853172
219,5.280410742,52.05827106,9,1,8.04,1.12,83.43073975,24.35062412,2.012679883,0.05349726
220,5.804085422,52.05827106,9,1,8.83,31.58,74.7297163,29.81801136,1.478379057,0.062845877
221,5.616615067,12.74909969,10,8,8.02,3.13,81.38023763,33.74312294,0.128274209,0.101411075
222,5.472123369,12.81652164,10,8,8.36,22.47,82.04814299,42.98974824,0.128019607,0.145252619
223,5.423144876,12.81652164,10,8,8.37,9.02,81.69617853,33.55399925,0.396281501,1.223589778
224,9.236434109,5.120219405,10,8,8.09,1.11,38.58566095,45.94812861,0.994195326,2.433723696
225,8.124537037,7.867230503,11,9,7.96,1.42,51.87899839,27.11605974,0.274761669,0.161739809
226,5.654486037,7.867230503,11,9,8.25,8.09,80.8112264,27.09481587,0.700193231,0.588515405
227,5.722923239,7.833894522,11,9,8.21,9.81,79.64153888,33.55399925,0.396281501,0.24138022
228,6.671361502,27.34107653,11,16,7.84,0.72,67.31576834,88.60936702,2.572637259,3.381663792
229,6.866525424,28.59034624,12,16,7.82,0.77,66.07733218,58.70393464,22.11290193,330.8983026
230,8.623953099,25.22236184,12,16,7.81,0.67,47.51279411,61.87496577,3.268973793,21.88070256
231,7.998544396,23.0309598,12,16,7.71,0.833333333,53.60001239,53.23937024,2.838127022,3.550068955
232,4.897865854,23.0309598,12,16,7.8,0.54,86.24694585,51.86756188,4.589070149,18.31681172
233,6.742753623,26.42020318,12,16,7.91,0.92,67.57753366,38.02777431,1.847926608,4.605605961
234,6.594907407,25.54978297,12,16,7.84,1.42,68.1256919,33.36432931,1.085156576,1.760675941
235,7.551603905,24.66423885,12,16,7.73,0.59,58.53574329,25.22530326,0.307113023,0.443005004
236,5.626582278,25.17108474,12,16,7.79,2.95,79.87027003,15.52322612,1.268210786,1.979554745
237,7.548874824,17.62265512,7,1,8.17,0.89,57.74145277,43.49371823,2.64836972,80.46803186
238,5.444444444,17.62265512,8,1,8.18,2.7648,81.99698814,42.27172213,0.079867321,0.072130965
239,6.052676152,17.62265512,8,1,8.26,5.339,75.8610983,31.46461295,0.098720204,0.0540847
240,6.634459037,17.62265512,8,1,8.34,7.256,68.81173193,34.22176252,0.159479069,0.297853172
241,7.665378671,52.05827106,9,1,8.28,5.339,56.47039618,24.35062412,2.012679883,0.05349726
242,7.27549195,52.05827106,9,1,8.25,4.5654,60.97734734,29.81801136,1.478379057,0.062845877
243,6.758300133,52.87342563,10,8,8.11,1.8964,66.88321096,33.74312294,0.128274209,0.101411075
244,8.987012987,55.87782837,10,8,8.06,1.335,44.68165607,42.98974824,0.128019607,0.145252619
245,7.340033501,56.01074573,10,8,8.03,1.2186,62.255989,33.55399925,0.396281501,1.223589778
246,8.358585859,13.52969904,10,9,7.96,0.3492,49.60263695,45.94812861,0.994195326,2.433723696
247,7.875,22.00004952,11,9,8.01,0.6572,55.05263846,27.11605974,0.274761669,0.161739809
248,6.609185919,22.00004952,11,9,8.03,5.645,71.41701159,27.09481587,0.700193231,0.588515405
249,7.942982456,22.19459037,11,9,8,1.1228,57.8251829,33.55399925,0.396281501,0.24138022
250,6.486066452,72.80413712,12,16,7.91,0.5614,69.56399117,58.70393464,22.11290193,330.8983026
251,4.471098266,73.21011804,12,16,7.95,0.4656,91.02953716,61.87496577,3.268973793,21.88070256
252,5.200620767,73.21011804,12,16,7.86,0.445,83.98594782,53.23937024,2.838127022,3.550068955
253,6.629928315,73.21011804,12,16,7.83,0.3286,70.18529071,51.86756188,4.589070149,18.31681172
254,5.276515152,70.23147376,12,16,7.66,0.2328,83.69054097,38.02777431,1.847926608,4.605605961
255,5.839869281,70.23147376,12,16,7.61,0.5614,77.49192156,33.36432931,1.085156576,1.760675941
256,4.838541667,68.63302165,12,16,7.65,0.2122,87.69205902,25.22530326,0.307113023,0.443005004
257,4.335820896,65.60681126,12,16,7.77,2.4362,91.93194221,33.82060715,0.523917009,0.144347173
258,5.389212262,68.76827509,12,16,7.81,3.7712,85.01867188,15.52322612,1.268210786,1.979554745
