,POC_PP,PON_PP,ND,RA,HRT,WT,pH,EC,CL,IS,HAI
1,60.266,5.216,6,8,77,13.7,7.79,312.5,86.91159499,2.150447235,2.876716133
2,134.118,13.345,7,8,77,12.9,7.74,217.2,43.83781154,37.08318579,1211.564688
3,62.523,6.463,7,8,62,15.91,6.9,330.8,58.52342496,1.91768782,3.056341734
4,77.451,7.391,7,8,72,16.47,7.56,320,59.34288495,4.651062074,51.15186112
5,14.238,1.484,7,8,67,16.83,7.55,322.6,38.10735726,1.490584808,1.645758977
6,13.655,1.847,7,8,69,17.78,7.83,313,14.30309253,1.027445246,1.692429419
7,69.197,8.581,7,8,19,22.6,8.02,305.9,86.91159499,2.150447235,2.876716133
8,54.006,11.151,8,8,19,23.4,8.06,315.2,43.83781154,37.08318579,1211.564688
9,53.965,38.593,8,8,16,23,7.9,322.9,65.25330137,2.685551167,5.898771694
10,45.472,6.763,8,8,20,26.5,7.81,323.3,58.52342496,1.91768782,3.056341734
11,36.435,3.47,8,8,19,26.2,7.71,354.4,59.34288495,4.651062074,51.15186112
12,253.15,44.748,8,8,22,27.5,7.52,350.5,38.10735726,1.490584808,1.645758977
13,185.847,61.272,8,8,19,27.3,8.12,327.7,14.30309253,1.027445246,1.692429419
14,26.628,3.467,7,1,14,23.7,8.17,429.2,40.2019991,0.229666023,0.59434132
15,17.922,1.124,8,2,11,23,8.45,418.1,20.87604965,0.165600033,0.136140947
16,40.063,3.598,8,2,11,23.7,8.45,405.7,25.16938778,0.261135519,0.173777576
17,11.324,1.577,8,9,9,22.8,7.51,330.6,86.59847525,2.347636123,3.58944462
18,19.177,2.624,9,9,9,23.8,7.47,343.2,59.91060476,17.53728729,294.1909482
19,21.5,3.036,9,9,9,24.2,8.1,343.4,64.80830644,2.817348149,19.70499817
20,29.565,4.044,9,9,11,24.9,7.3,341.1,57.84589713,2.109138155,3.165944356
21,11.767,2.095,9,9,19,25.5,8.29,349.7,57.14516811,3.244526645,16.56854041
22,19.508,3.202,9,9,14,26.2,7.05,369.6,37.34766797,1.570355839,4.111259653
23,56.718,5.568,9,9,10,26.8,10.41,400.9,14.43514991,1.067194532,1.832032194
24,8.839,1.562,7,2,57,15.5,7.64,334.6,41.2647299,0.252212271,0.623571293
25,137.763,20.173,8,3,30,14.6,6.88,303.8,23.66284343,0.191586499,0.140656475
26,47.314,11.059,8,3,30,16,7.55,336.8,26.78384221,0.275657202,0.17938374
27,7.431,1.24,8,10,78,14.5,7.02,350.9,86.98545943,2.522403174,3.715841531
28,46.384,5.723,9,10,78,14.4,8.21,346,58.5397419,18.58231228,306.205039
29,7.066,0.7,9,10,78,14.4,8.41,346.2,62.62418331,2.889956932,20.51690967
30,3.453,0.403,9,10,84,14.7,8.16,357.9,54.06796933,2.250910758,3.277234968
31,7.612,0.798,9,10,81,15.1,8.38,359.6,54.00712797,3.505393108,17.12729377
32,8.335,0.948,9,10,75,15.6,8.14,342,38.7287353,1.643982192,4.261405193
33,10.522,1.208,9,10,76,16.2,8.12,312.8,14.00524044,1.11254202,1.891508135
34,13.863,3.788,7,4,45,14.835,8.34,412.3,40.5861754,0.09044344,0.137963423
35,117.84,5.949,7,4,45,14.721,8.44,422.1,37.58776355,0.069038957,0.025314291
36,131.133,11.407,7,4,45,14.45,8.5,420.5,41.83240645,0.422894381,1.039457456
37,166.68,4.621,8,5,14,13.91,8.51,423.3,43.43983104,0.916495129,2.631035666
38,83.153,2.247,8,5,14,14.096,8.54,414.4,42.95719299,0.932442503,2.816571231
39,67.166,6.241,8,5,22,14.032,8.55,422.1,24.90962405,0.242658467,0.164698871
40,144,8.837,8,5,22,17.553,8.58,431.5,26.16443033,0.40913966,0.235961616
41,52.539,4.243,8,5,22,16.211,8.43,433.6,27.26149456,0.640472839,0.542698206
42,102.123,10.976,8,5,23,16.153,8.85,434,25.52357271,0.632962184,0.573325494
43,273.354,30.629,8,5,24,15.731,8.61,435.8,23.19493343,0.27526278,0.205004508
44,250.999,32.22,7,4,35,19.737,8.33,373.8,40.5861754,0.09044344,0.137963423
45,79.105,10.419,7,4,35,19.652,8.31,373.8,37.58776355,0.069038957,0.025314291
46,145.494,19.213,7,4,35,19.856,8.33,373.3,41.83240645,0.422894381,1.039457456
47,78.321,10.287,8,5,12,20.459,8.22,373.7,43.43983104,0.916495129,2.631035666
48,90.033,11.038,8,5,12,18.479,8.17,372.3,42.95719299,0.932442503,2.816571231
49,122.26,17.758,8,5,12,18.483,8.28,372.3,32.47765156,0.912407364,1.655541116
50,140.573,19.329,8,5,20,18.643,8.29,371.8,24.90962405,0.242658467,0.164698871
51,218.383,24.739,8,5,20,19.99,8.2,372.2,26.16443033,0.40913966,0.235961616
52,139.177,16.053,8,5,19,18.801,8.25,373.9,27.26149456,0.640472839,0.542698206
53,116.016,15.085,8,5,19,18.972,8.27,374.6,25.52357271,0.632962184,0.573325494
54,408.48,54.359,8,5,19,19.023,8.28,373.4,23.19493343,0.27526278,0.205004508
55,91.098,12.012,8,5,19,19.188,8.3,373.4,27.69271531,0.295906981,0.185315414
56,219.17,29.886,8,5,19,19.62,8.16,422.8,37.80259925,0.490782386,0.435701807
57,21.78,3.092,7,4,12,23.219,8.09,482.1,40.5861754,0.09044344,0.137963423
58,21.896,2.633,7,4,12,23.147,8.09,485.8,37.58776355,0.069038957,0.025314291
59,23.311,2.992,7,4,12,23.111,8.04,397.9,41.83240645,0.422894381,1.039457456
60,18.17,2.179,8,5,4,22.378,8.08,474.9,43.43983104,0.916495129,2.631035666
61,22.93,2.938,8,5,4,22.391,8.08,473,42.95719299,0.932442503,2.816571231
62,14.956,1.187,8,5,4,22.423,8.08,468.3,32.47765156,0.912407364,1.655541116
63,19.337,1.531,8,5,6,22.502,8.08,482,24.90962405,0.242658467,0.164698871
64,26.24,2.025,8,5,6,22.37,8.06,465.1,26.16443033,0.40913966,0.235961616
65,15.303,1.925,8,5,7,22.488,8.04,446.7,27.26149456,0.640472839,0.542698206
66,22.852,2.413,8,5,7,22.676,8.04,443.5,25.52357271,0.632962184,0.573325494
67,16.969,1.896,8,5,7,22.548,8.02,434,23.19493343,0.27526278,0.205004508
68,16.713,2.106,8,5,7,22.727,8,429.4,27.69271531,0.295906981,0.185315414
69,18.07,2.187,8,5,7,22.503,8,429.2,37.80259925,0.490782386,0.435701807
70,19.36,2.748,7,4,12,23.075,8.23,413.9,40.5861754,0.09044344,0.137963423
71,16.218,2.353,7,4,12,22.654,8.23,403.8,37.58776355,0.069038957,0.025314291
72,11.243,1.577,7,4,12,22.443,8.2,380.4,41.83240645,0.422894381,1.039457456
73,9.007,1.132,8,5,4,22.38,8.25,366.2,43.43983104,0.916495129,2.631035666
74,9.775,1.183,8,5,4,22.403,8.24,365.7,42.95719299,0.932442503,2.816571231
75,9.836,1.086,8,5,3,22.427,8.18,385.8,32.47765156,0.912407364,1.655541116
76,7.459,0.797,8,5,4,22.43,8.24,385.4,24.90962405,0.242658467,0.164698871
77,8.657,0.958,8,5,4,22.379,8.25,385.4,26.16443033,0.40913966,0.235961616
78,9.209,0.946,8,5,4,22.384,8.23,365.4,27.26149456,0.640472839,0.542698206
79,8.927,1.001,8,5,4,22.367,8.25,363.7,25.52357271,0.632962184,0.573325494
80,4.472,0.572,8,5,4,22.387,8.23,362.5,23.19493343,0.27526278,0.205004508
81,9.972,1.069,8,5,4,22.376,8.22,362.8,27.69271531,0.295906981,0.185315414
82,43.732,5.573,8,5,4,22.417,8.21,359.2,37.80259925,0.490782386,0.435701807
83,8.464,1.12,7,4,32,19.236,8.22,357.3,40.5861754,0.09044344,0.137963423
84,1.364,0.221,7,4,32,18.792,8.2,448,37.58776355,0.069038957,0.025314291
85,5.171,0.732,7,4,32,18.768,8.17,440.9,41.83240645,0.422894381,1.039457456
86,9.649,1.156,8,5,7,18.779,8.18,429,43.43983104,0.916495129,2.631035666
87,11.348,1.362,8,5,7,18.783,8.18,430.1,42.95719299,0.932442503,2.816571231
88,11.524,1.34,8,5,7,18.678,8.17,434.1,32.47765156,0.912407364,1.655541116
89,9.444,1.058,8,5,12,18.666,8.21,429.8,24.90962405,0.242658467,0.164698871
90,7.359,0.809,8,5,12,18.668,8.15,423.1,26.16443033,0.40913966,0.235961616
91,7.396,0.96,8,5,13,18.641,8.18,427.4,27.26149456,0.640472839,0.542698206
92,4.936,0.637,8,5,13,18.646,8.18,426.8,25.52357271,0.632962184,0.573325494
93,14.396,2.024,8,5,13,18.677,8.19,426.7,23.19493343,0.27526278,0.205004508
94,7.784,1.055,8,5,13,18.713,8.17,425.8,27.69271531,0.295906981,0.185315414
95,7.932,1.154,8,5,13,18.733,8.2,425.2,37.80259925,0.490782386,0.435701807
96,25.726,4.372,7,5,41,14.89,8.17,423.5,40.5861754,0.09044344,0.137963423
97,6.665,0.924,7,5,41,14.957,8.3,468.8,37.58776355,0.069038957,0.025314291
98,5.335,0.85,7,5,41,14.839,8.28,464,41.83240645,0.422894381,1.039457456
99,13.538,2.416,8,6,11,14.891,8.29,468,43.43983104,0.916495129,2.631035666
100,4.98,0.688,8,6,11,14.878,8.29,468.3,42.95719299,0.932442503,2.816571231
101,7.048,0.93,8,6,11,14.844,8.27,465.1,32.47765156,0.912407364,1.655541116
102,9.307,0.914,8,6,12,14.847,8.31,469.2,24.90962405,0.242658467,0.164698871
103,7.05,0.955,8,6,12,14.644,8.29,464.5,26.16443033,0.40913966,0.235961616
104,42.412,6.966,8,6,13,14.591,8.28,468.5,27.26149456,0.640472839,0.542698206
105,11.241,1.451,8,6,13,14.605,8.26,469.9,25.52357271,0.632962184,0.573325494
106,8.289,0.928,8,6,13,14.785,8.26,473.7,23.19493343,0.27526278,0.205004508
107,5.944,0.866,8,6,13,14.96,8.28,472.1,27.69271531,0.295906981,0.185315414
108,7.809,0.947,8,6,13,14.863,8.25,468.3,37.80259925,0.490782386,0.435701807
109,32.039,11.611,8,13,50,19.683,7.8,376.1,89.12730835,2.462450527,3.381663791
110,17.542,3.063,9,13,50,20.515,7.73,393.7,57.48541818,21.17487609,330.8983026
111,38.607,9.241,9,13,50,19.11,7.8,385.1,60.76520468,3.039979823,21.92873527
112,171.976,46.122,9,13,50,20.182,7.73,393.9,51.18169312,2.55942221,3.550068955
113,39.445,10.403,9,13,50,20.322,7.75,403.3,50.32685233,3.939169291,17.97847639
114,111.495,35.044,9,13,50,20.424,7.7,404.1,45.33299196,1.561019229,9.127421455
115,30.858,18.872,9,13,50,19.729,7.81,405.4,34.96932672,1.034331659,1.760675941
116,21.593,5.325,9,13,50,18.965,7.74,407.2,13.3334777,1.213720854,1.995564718
117,19.291,4.54,7,5,17,20.365,8.06,436.4,37.32910259,0.077702354,0.086531234
118,29.716,6.381,7,5,17,20.433,8.06,435.1,41.27646511,0.439338992,1.076453841
119,25.874,9.711,8,6,10,24.451,8.04,435.5,23.67495532,0.25081237,0.169402677
120,83.544,30.423,8,6,10,19.317,7.97,427,24.85447009,0.444550876,0.246859472
121,68.343,19.179,8,6,13,19.454,8,429.7,26.29489177,0.677811082,0.568085703
122,38.648,12.562,8,6,12,19.714,8.11,425.2,24.6754289,0.658441142,0.596358822
123,32.199,10.748,8,6,11,19.571,8.08,419.4,22.80592026,0.284319258,0.210559095
124,57.98,16.082,8,6,12,20.289,8.17,409.1,27.3010527,0.306484322,0.191013815
125,32.545,7.528,8,6,12,19.883,8.11,406.4,37.44535477,0.518301693,0.460098212
126,4.577,1.017,8,13,11,23.11,8.08,403.5,89.12730835,2.462450527,3.381663791
127,3.494,0.863,9,13,11,23.993,7.93,343.5,57.48541818,21.17487609,330.8983026
128,4.814,1.583,9,13,12,24.186,8.17,402.6,60.76520468,3.039979823,21.92873527
129,12.86,3.122,9,13,12,23.818,7.95,402.5,51.18169312,2.55942221,3.550068955
130,22.722,4.675,9,13,16,23.905,8.06,392.2,50.32685233,3.939169291,17.97847639
131,23.051,6.011,9,13,18,23.895,7.85,397.3,45.33299196,1.561019229,9.127421455
132,15.528,4.056,9,13,18,23.63,7.8,376.6,34.96932672,1.034331659,1.760675941
133,24.464,6.016,9,13,19,24.093,7.76,366.5,13.3334777,1.213720854,1.995564718
134,11.346,2.21,7,5,11,24.322,8.53,446.8,37.32910259,0.077702354,0.086531234
135,15.867,5.609,7,5,11,23.236,8.21,461.7,41.27646511,0.439338992,1.076453841
136,7.925,2.122,8,6,6,27.037,8.05,466.8,23.67495532,0.25081237,0.169402677
137,16.539,3.232,8,6,6,22.799,8.1,466.6,24.85447009,0.444550876,0.246859472
138,10.887,2.538,8,6,7,22.802,9.12,453.6,26.29489177,0.677811082,0.568085703
139,5.401,1.624,8,6,7,23.647,8.58,464.5,24.6754289,0.658441142,0.596358822
140,12.373,3.108,8,6,7,23.257,8.45,466.1,22.80592026,0.284319258,0.210559095
141,19.529,4.601,8,6,6,23.226,8.95,481.7,27.3010527,0.306484322,0.191013815
142,58.327,11.403,8,6,6,23.684,9.01,481.3,37.44535477,0.518301693,0.460098212
143,19.882,2.622,8,13,97,16.87,7.93,383.8,89.12730835,2.462450527,3.381663791
144,22.283,3.288,9,13,97,16.98,7.86,387.9,57.48541818,21.17487609,330.8983026
145,24.962,3.418,9,13,93,18.04,7.83,388.6,60.76520468,3.039979823,21.92873527
146,17.148,2.744,9,13,93,18.4,7.81,371.4,51.18169312,2.55942221,3.550068955
147,50.136,7.417,9,13,88,18.75,7.8,369.3,50.32685233,3.939169291,17.97847639
148,39.992,5.417,9,13,80,19.07,7.75,367.2,45.33299196,1.561019229,9.127421455
149,34.598,5.571,9,13,72,19.16,7.75,364.4,34.96932672,1.034331659,1.760675941
150,30.426,6.292,7,5,47,17.936,8.04,441.6,41.27646511,0.439338992,1.076453841
151,132.026,24.359,8,6,24,17.029,8.02,443.1,23.67495532,0.25081237,0.169402677
152,143.391,26.578,8,6,24,17.937,8.05,440.5,24.85447009,0.444550876,0.246859472
153,154.517,33.657,8,6,25,17.768,8.06,443.6,26.29489177,0.677811082,0.568085703
154,188.153,33.217,8,6,25,17.949,8.05,431.1,24.6754289,0.658441142,0.596358822
155,86.309,14.255,8,6,24,17.561,8.06,425.5,22.80592026,0.284319258,0.210559095
156,32.449,8.625,8,6,24,17.728,8.06,423.8,27.3010527,0.306484322,0.191013815
157,16.463,5.2,8,6,24,17.877,8.06,425.3,37.44535477,0.518301693,0.460098212
158,5.848,0.849,7,1,17.622655,18.37,8.04,339.4,43.49371823,2.64836972,80.46803186
159,0.459,0.065,8,1,17.622655,18.858,8.06,390.4,42.27172213,0.079867321,0.072130965
160,0.552,0.076,8,1,17.622655,20.636,8.01,444,31.46461295,0.098720204,0.0540847
161,0.458,0.078,8,1,17.622655,22.376,8.06,467.7,34.22176252,0.159479069,0.297853172
162,0.88,0.167,9,1,52.058271,20.975,8.04,484.4,24.35062412,2.012679883,0.05349726
163,7.268,1.252,9,1,52.058271,25.774,8.83,423.6,29.81801136,1.478379057,0.062845877
164,1.426,0.254,10,8,13,23.228,8.02,518.3,33.74312294,0.128274209,0.101411075
165,3.411,0.623,10,8,13,24.369,8.36,502.4,42.98974824,0.128019607,0.145252619
166,1.349,0.249,10,8,13,24.665,8.37,498.4,33.55399925,0.396281501,1.223589778
167,1.952,0.211,10,8,5,20.981,8.09,428.3,45.94812861,0.994195326,2.433723696
168,1.863,0.229,11,9,8,21.064,7.96,504.8,27.11605974,0.274761669,0.161739809
169,7.163,1.267,11,9,8,24.098,8.25,486.8,27.09481587,0.700193231,0.588515405
170,3.261,0.57,11,9,8,23.119,8.21,479.9,33.55399925,0.396281501,0.24138022
171,6.791,1.018,11,16,27,23.29,7.84,427.8,88.60936702,2.572637259,3.381663792
172,7.081,1.031,12,16,29,25.696,7.82,413.1,58.70393464,22.11290193,330.8983026
173,15.535,1.801,12,16,25,25.707,7.81,407,61.87496577,3.268973793,21.88070256
174,3.224,0.658,12,16,23,26.329,7.8,400.1,51.86756188,4.589070149,18.31681172
175,22.444,3.329,12,16,26,26.322,7.91,400.1,38.02777431,1.847926608,4.605605961
176,8.536,1.294,12,16,26,25.907,7.84,399.2,33.36432931,1.085156576,1.760675941
177,6.845,0.906,12,16,25,25.721,7.73,384.3,25.22530326,0.307113023,0.443005004
